,indice,r_ambiente,r_usd,r_metros2,r_frente,r_contrafrente,r_expensas,r_garage,r_amenities
0,0,2.0,,,,,1.0,,1.0
1,1,,20.000,,1.0,,,1.0,1.0
2,2,2.0,,,,,1.0,,1.0
3,3,3.0,,,,,,,
4,4,,,,1.0,1.0,,,
5,5,,,,1.0,,,,1.0
6,6,,,106,1.0,,1.0,,1.0
7,7,1.0,,,,,,,1.0
8,8,2.0,,,,,,,1.0
9,9,,,,,,,,1.0
10,10,,,,,,,1.0,1.0
11,11,1.0,,,,,,,1.0
12,12,2.0,,,1.0,1.0,,,1.0
13,13,3.0,,,1.0,,,,1.0
14,14,,,,,,,,1.0
15,15,,250.000,115,,,,1.0,1.0
16,16,4.0,,,1.0,,,,
17,17,3.0,,,,,,1.0,1.0
18,18,,,40,,,,,1.0
20,19,,,,1.0,,,,1.0
21,20,,,,,,,,
22,21,,,,,,,,
23,22,,,1000,,,,,1.0
24,23,,,,,,1.0,1.0,1.0
25,24,4.0,71.000,160,,,,1.0,1.0
26,25,4.0,71.800,160,,,,1.0,1.0
27,26,,,,,,,,1.0
28,27,,,,,,,,1.0
29,28,4.0,72.500,160,,,,1.0,1.0
30,29,,,,,,,,
31,30,,,,,,,1.0,1.0
32,31,3.0,,,,,,,
33,32,,,,,,,,
34,33,3.0,,,,,,1.0,1.0
35,34,,,,,,1.0,1.0,1.0
36,35,4.0,,,1.0,,1.0,,
37,36,,,,,,,1.0,1.0
38,37,,,,,,,,
40,38,5.0,,,,,,1.0,1.0
41,39,,,,,,,1.0,1.0
43,40,3.0,,138,1.0,,,1.0,1.0
44,41,,,,,,,,
45,42,,,,,,,1.0,1.0
46,43,,,,,,1.0,1.0,1.0
47,44,,,,,,,1.0,1.0
48,45,1.0,,30,1.0,,,1.0,1.0
49,46,,,,,,,1.0,1.0
50,47,,,,,,,,
51,48,,,74,1.0,,,1.0,1.0
52,49,,,1000,,,,,
53,50,,,,,,1.0,1.0,1.0
54,51,,,,,,,1.0,1.0
55,52,3.0,,50,1.0,1.0,1.0,,1.0
56,53,,,,,,,,
57,54,,,,,,,1.0,1.0
58,55,,,,,,,1.0,1.0
59,56,,,261,,,,1.0,1.0
60,57,,,,1.0,,,,
61,58,,,1300,1.0,,,1.0,1.0
62,59,,,,1.0,,,,1.0
64,60,2.0,173.000,,1.0,1.0,1.0,1.0,1.0
65,61,,,700,1.0,,,,1.0
66,62,,,,,,,,1.0
67,63,,,,,,,,1.0
68,64,,300000,1085,,,,1.0,1.0
69,65,,50000,50,,,,,1.0
70,66,1.0,72900,38,1.0,,,,
71,67,,,220,,,,,1.0
72,68,,,,1.0,,,,1.0
73,69,,,,,,,1.0,1.0
75,70,2.0,,,,,,1.0,1.0
77,71,3.0,105.000,,1.0,,,1.0,1.0
78,72,1.0,,,,,,,
79,73,,,150,,,,,1.0
80,74,1.0,,,,,1.0,,1.0
81,75,,,,,,,1.0,1.0
82,76,,,400,,,,1.0,1.0
83,77,3.0,,85,,,,,1.0
84,78,,,,1.0,,,,
85,79,,,42,,,,1.0,1.0
86,80,,,,,,,,1.0
87,81,2.0,79.900,,1.0,1.0,,,
88,82,1.0,54.900,,,,,,1.0
89,83,,,55,1.0,1.0,,,
90,84,,,,,,1.0,1.0,1.0
91,85,,,63,1.0,,,,1.0
